Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed,Conditions,GHI
10,5,7,57.49491699,60.10510375,985.8417969,91.08562469,1.109555483,Mostly Cloudy,47
10,5,8,58.90979125,64.67080201,986.3671875,81.5905304,0.760022044,Cloudy,240
10,5,9,61.40011719,70.7405835,986.2076416,72.33018494,0.634943247,Mostly Cloudy,442
10,5,10,61.94102905,75.51743896,986.0302124,62.77482605,0.623857617,Cloudy,613
10,5,11,62.4869397,78.36553467,985.2301636,58.23206329,0.470518917,Cloudy,733
10,5,12,62.72918823,80.26995972,984.5170898,55.17337418,0.36314711,Cloudy,792
10,5,13,62.76923339,81.2397229,983.3404541,53.53106308,0.396483541,Cloudy,784
10,5,14,62.63728759,81.30322387,982.5254517,53.17314148,0.47163108,Cloudy,709
10,5,15,62.49781616,80.58158692,981.8446655,54.17190933,0.524696112,Clear,575
10,5,16,63.23758057,78.68787354,981.3973389,59.15816498,0.525629818,Clear,395
10,5,17,61.7249829,75.50601318,981.1971436,62.32158661,0.478021324,Clear,193
10,5,18,68.46745728,70.89307372,981.4157715,92.04985046,0.452343106,Clear,0
10,5,19,68.99013183,70.34914063,981.6658325,95.46456146,0.408854038,Clear,0
10,5,20,68.41950195,69.30785644,981.6474609,97.00160217,0.414220065,Clear,0
10,5,21,67.49824341,68.19043701,981.4749756,97.64587402,0.476552814,Partly Cloudly,0
10,5,22,66.70349244,67.09570435,981.2047729,98.65386963,0.530638158,Clear,0
10,5,23,66.01706665,66.01706665,981.0962524,100,0.578509092,Clear,0
10,6,0,65.01033448,65.01033448,980.9838867,100,0.637563765,Clear,0
10,6,1,63.99739503,63.99739503,980.5344849,100,0.706472754,Clear,0
10,6,2,62.916615,62.916615,980.4065552,100,0.811950803,Clear,0
10,6,3,61.25372436,61.25372436,980.0831909,100,0.950746894,Cloudy,0
10,6,4,59.51101807,59.93602417,979.9307861,98.49710846,1.160864472,Cloudy,0
10,6,5,58.72099122,59.37660034,979.6885986,97.68444061,1.322727442,Cloudy,0
10,6,6,58.39651,59.0619519,979.4287109,97.64697266,1.422419548,Cloudy,0
10,6,7,58.83475464,62.16690796,979.5479736,88.84037781,1.429799557,Clear,44
10,6,8,60.06016967,66.52826049,979.927063,79.69465637,1.122232437,Clear,237
10,6,9,61.59419067,72.38249024,980.3287964,68.8872757,1.115635276,Cloudy,439
10,6,10,60.74901244,76.74571045,980.3450317,57.77443695,1.280059814,Cloudy,608
10,6,11,61.37385987,78.96670655,979.8793335,54.89244461,1.306734562,Cloudy,725
10,6,12,61.86209229,80.39201783,979.4716797,53.30013657,1.461858749,Cloudy,779
10,6,13,61.33787964,80.24502076,978.7293701,52.57353973,1.643942118,Clear,545
10,6,14,61.37830933,79.64176147,978.2811279,53.69843292,1.754365921,Cloudy,690
10,6,15,61.62291991,78.34652832,977.9664917,56.51937866,1.793111682,Clear,557
